"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Gila bicolor ssp. mohavensis","Mohave tui chub","Wherever found","8","Endangered","Fishes"
"Tamias minimus atristriatus","Penasco least chipmunk","Wherever found","2","Endangered","Mammals"
"Dipodomys nitratoides exilis","Fresno kangaroo rat","Wherever found","8","Endangered","Mammals"
"Crystallaria cincotta","Diamond Darter","Wherever found","5","Endangered","Fishes"
"Eucyclogobius newberryi","tidewater goby","Wherever found","8","Endangered","Fishes"
"Caracara plancus audubonii","Crested caracara (Audubon's) [FL DPS]","FL DPS","4","Threatened","Birds"
"Etheostoma akatulo","bluemask darter","Wherever found","4","Endangered","Fishes"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Chasiempis ibidis","Oahu elepaio","Wherever found","1","Endangered","Birds"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Neoseps reynoldsi","Sand skink","Wherever found","4","Threatened","Reptiles"
"Etheostoma nianguae","Niangua darter","Wherever found","3","Threatened","Fishes"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Notropis simus pecosensis","Pecos bluntnose shiner","Wherever found","2","Threatened","Fishes"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","Wherever found","8","Endangered","Mammals"
"Gila purpurea","Yaqui chub","Wherever found","2","Endangered","Fishes"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Rana sierrae","Sierra Nevada Yellow-legged Frog","Wherever found","8","Endangered","Amphibians"
"Rhinichthys osculus thermalis","Kendall Warm Springs dace","Wherever found","6","Endangered","Fishes"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Anaxyrus baxteri","Wyoming Toad","Wherever found","6","Endangered","Amphibians"
"Pseudemys rubriventris bangsi","Plymouth Redbelly Turtle = Plymouth Redbelly Cooter","Wherever found","5","Endangered","Reptiles"
"Ptychocheilus lucius","Colorado pikeminnow","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Thamnophis sirtalis tetrataenia","San Francisco garter snake","Wherever found","8","Endangered","Reptiles"
"Antigone canadensis pulla","Mississippi sandhill crane","Wherever found","4","Endangered","Birds"
"Chasmistes liorus","June sucker","Wherever found","6","Threatened","Fishes"
"Gila bicolor ssp. snyderi","Owens Tui Chub","Wherever found","8","Endangered","Fishes"
"Gila intermedia","Gila chub","Wherever found","2","Endangered","Fishes"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Agelaius xanthomus","Yellow-shouldered blackbird","Wherever found","4","Endangered","Birds"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Charadrius nivosus nivosus","western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Microtus pennsylvanicus dukecampbelli","Florida salt marsh vole","Wherever found","4","Endangered","Mammals"
"Fundulus julisia","Barrens topminnow","Wherever found","4","Endangered","Fishes"
"Ameiva polops","St. Croix ground lizard","Wherever found","4","Endangered","Reptiles"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Etheostoma spilotum","Kentucky arrow darter","Wherever found","4","Threatened","Fishes"
"Grus americana","Whooping crane","U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)","2","Experimental Population, Non-Essential","Birds"
"Macrochelys suwanniensis","Suwannee alligator snapping turtle","","4","Threatened","Reptiles"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Neotoma floridana smalli","Key Largo woodrat","Wherever found","4","Endangered","Mammals"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Eumops floridanus","Florida bonneted bat","Wherever found","4","Endangered","Mammals"
"Spirinchus thaleichthys","Longfin Smelt","San Francisco Bay-Delta DPS","8","Endangered","Fishes"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Loxops caeruleirostris","Akekee","Wherever found","1","Endangered","Birds"
"Canis lupus","Gray wolf","CO","6","Experimental Population, Non-Essential","Mammals"
"Rana boylii","Foothill yellow-legged frog","Central Coast Distinct Population Segment (Central Coast DPS)","8","Threatened","Amphibians"
"Rana boylii","Foothill yellow-legged frog","North Feather Distinct Population Segment (North Feather DPS)","8","Threatened","Amphibians"
"Rana chiricahuensis","Chiricahua leopard frog","Wherever found","2","Threatened","Amphibians"
"Lepidomeda vittata","Little Colorado spinedace","Wherever found","2","Threatened","Fishes"
"Gopherus polyphemus","Gopher tortoise","Western DPS","4","Threatened","Reptiles"
"Pteropus mariannus mariannus","Mariana fruit Bat (=Mariana flying fox)","Wherever found","1","Threatened","Mammals"
"Rostrhamus sociabilis plumbeus","Everglade snail kite","Wherever found","4","Endangered","Birds"
"Eremichthys acros","Desert dace","Wherever found","8","Threatened","Fishes"
"Cyclura stejnegeri","Mona ground Iguana","Wherever found","4","Threatened","Reptiles"
"Masticophis lateralis euryxanthus","Alameda whipsnake (=striped racer)","Wherever found","8","Threatened","Reptiles"
"Pseudonestor xanthophrys","Maui parrotbill (Kiwikiu)","Wherever found","1","Endangered","Birds"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Dionda diaboli","Devils River minnow","Wherever found","2","Threatened","Fishes"
"Paroreomyza maculata","O`ahu `alauahio","Wherever found","1","Endangered","Birds"
"Etheostoma etowahae","Etowah darter","Wherever found","4","Endangered","Fishes"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Thamnophis rufipunctatus","Narrow-headed gartersnake","Wherever found","2","Threatened","Reptiles"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Thomomys mazama tumuli","Tenino pocket gopher","Wherever found","1","Threatened","Mammals"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Chasmistes cujus","Cui-ui","Wherever found","8","Endangered","Fishes"
"Anolis roosevelti","Culebra Island giant anole","Wherever found","4","Endangered","Reptiles"
"Eleutherodactylus juanariveroi","Llanero Coqui","Wherever found","4","Endangered","Amphibians"
"Peromyscus polionotus ammobates","Alabama beach mouse","Wherever found","4","Endangered","Mammals"
"Salvelinus confluentus","Bull Trout","U.S.A., coterminous, lower 48 states","1","Threatened","Fishes"
"Empetrichthys latos","Pahrump poolfish","Wherever found","8","Endangered","Fishes"
"Loxops mana","Hawaii creeper","Wherever found","1","Endangered","Birds"
"Hemignathus wilsoni","akiapolaau","Wherever found","1","Endangered","Birds"
"Gasterosteus aculeatus williamsoni","unarmored threespine stickleback","Wherever found","8","Endangered","Fishes"
"Polioptila californica californica","Coastal California gnatcatcher","Wherever found","8","Threatened","Birds"
"Palmeria dolei","`Akohekohe (crested honeycreeper)","Wherever found","1","Endangered","Birds"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Myadestes palmeri","Puaiohi","Wherever found","1","Endangered","Birds"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
"Puma (=Felis) concolor coryi","Florida panther","Wherever found","4","Endangered","Mammals"
"Noturus stanauli","Pygmy madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
"Etheostoma osburni","Candy darter","Wherever found","5","Endangered","Fishes"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Santa Barbara County)","8","Endangered","Amphibians"
"Sternotherus depressus","Flattened musk turtle","Black Warrior R. system upstream from Bankhead Dam","4","Threatened","Reptiles"
"Neotoma fuscipes riparia","riparian woodrat (= San Joaquin Valley)","Wherever found","8","Endangered","Mammals"
"Etheostoma rubrum","Bayou darter","Wherever found","4","Threatened","Fishes"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Ursus maritimus","Polar bear","Wherever found","7","Threatened","Mammals"
"Pterodroma hasitata","Black-capped Petrel","Wherever found","4","Endangered","Birds"
"Eurycea naufragia","Georgetown Salamander","Wherever found","2","Threatened","Amphibians"
"Meda fulgida","Spikedace","Wherever found","2","Endangered","Fishes"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Wherever found","1","Endangered","Birds"
"Graptemys barbouri","Barbour's map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Percina pantherina","Leopard darter","Wherever found","2","Threatened","Fishes"
"Dipodomys merriami parvus","San Bernardino Merriam's kangaroo rat","Wherever found","8","Endangered","Mammals"
"Epicrates monensis monensis","Mona boa","Wherever found","4","Threatened","Reptiles"
"Anaxyrus canorus","Yosemite toad","Wherever found","8","Threatened","Amphibians"
"Mustela nigripes","Black-footed ferret","[Shirley Basin/Medicine Bow Management Area NEP] - U.S.A. (parts of WY)","6","Experimental Population, Non-Essential","Mammals"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Brachylagus idahoensis","Pygmy Rabbit","Columbia Basin DPS","1","Endangered","Mammals"
"Pituophis ruthveni","Louisiana pinesnake","Wherever found","4","Threatened","Reptiles"
"Rana muscosa","Mountain yellow-legged frog","Northern California DPS","8","Endangered","Amphibians"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Gila bicolor ssp.","Hutton tui chub","Wherever found","1","Threatened","Fishes"
